swarm_size,run_id,total_cost,collisions,control_cost,alignment_cost,r2_total_cost,auc_control_cost,auc_alignment_cost,collisions_per_robot
10,1,2193776.227220332,18574,5.52357237043242,1.6268821543129084,0.8169909435073089,5.521598175547515,1.6268814586137261,1857.4
10,2,2303416.2027100804,0,5.440390333506251,0.9593844051195037,0.892797218839069,5.434860336332961,0.955085490145487,0.0
10,3,2365074.00717423,0,5.452490890491992,1.4575225770439013,0.9354387656845232,5.450062598040804,1.4575214520894162,0.0
10,4,2612015.1250604084,0,5.702052846861142,1.1999437826798154,0.9391828474403627,5.697409420018319,1.1995216596398977,0.0
10,5,1798121.8224092817,0,5.302847652304907,0.9847052295173528,0.8743948550296887,5.299955219550346,0.9847040978463927,0.0
14,1,11904764.382046014,354564,9.783367378452631,0.5195641776342139,0.8383743468863745,9.766104537048676,0.5069342232202592,25326.0
14,2,27346417.758832663,869130,9.51487088425854,0.5288517066826401,0.8209636119930545,9.49761649841075,0.5150798928604586,62080.71428571428
14,3,35694028.7114326,1194858,8.924067883297393,0.5422058219618386,0.890591609672538,8.907300715113315,0.5238914419545463,85347.0
14,4,34870680.63293827,1186557,9.141493448520507,0.5940613798841824,0.9556466269554306,9.125430678177764,0.5714056869050209,84754.07142857143
14,5,32565496.06151505,1038348,9.755121112310444,0.5699894046424421,0.8733331679616918,9.735731075182446,0.5535907163649981,74167.71428571429
15,1,3379869.5849264786,0,14.491584200246564,2.6017496566464824,0.9587092988519044,14.488501556746133,2.5991177120534434,0.0
15,2,1618400.8370216074,0,13.062394539993566,1.3890944682152127,0.8988651214096102,13.055306592931057,1.3890937260869876,0.0
15,3,2959757.176311046,0,14.930508369543931,1.8871275812029435,0.9044842353465581,14.920863081985752,1.8871274262432784,0.0
15,4,2138580.6707974323,0,13.057746198789413,1.3076426265694066,0.9184462584197355,13.046300830628642,1.3075427394495678,0.0
15,5,2649853.5730772354,0,12.940842373201074,1.3477649990065559,0.8705009911086161,12.929623868880475,1.3477585660524998,0.0
16,1,3777255.8162865792,0,17.460312248406904,2.4319048073266387,0.9237129761510704,17.44958456545245,2.4319025190059946,0.0
16,2,1857795.5949634677,0,14.441301411007895,1.1486697156887735,0.962389413561667,14.429986943428638,1.1486692350629253,0.0
16,3,1789291.5426382192,0,14.495784802476734,1.2714763489021683,0.9381525401182759,14.483490340130995,1.2714760159489518,0.0
16,4,3116709.926739662,0,17.91908034601741,2.3716873038471684,0.9043262634110731,17.899515798532654,2.3701015762215394,0.0
16,5,4976476.307869512,82875,15.767118423243298,1.6507700586996363,0.8020656257948315,15.749415334749358,1.6482097212085003,5179.6875
20,1,6806899.435767329,65955,18.13207677669515,1.0449831851158133,0.6672753821369135,18.120041017181933,1.0449799512996578,3297.75
20,2,43234176.78949773,595769,20.791475034727675,2.2011622806863542,0.9409679713801389,20.779614613092193,2.201159443228647,29788.45
20,3,3037471.753724439,0,18.09549912059672,1.0509841301820664,0.8989374475173328,18.08604659608717,1.050981777411238,0.0
20,4,11612668.471501851,158921,19.121331972563723,1.6260400815127234,0.9300470953947753,19.110968371892913,1.6260381374893909,7946.05
20,5,6451332.08690895,77956,18.247388508105544,1.1932057522724857,0.9385237248662219,18.237727388244963,1.1932040532074057,3897.8
